Approvals,,,,,,,,
Category Name,EAN,Description,Retailer Supplier,Other Suppliers,Status,Version in Workflow,Product Version Date,Account Manager
Shot Spirits,5060045582294,Sourz Cranberry & Apple 70cl,MAXXIUM UK LIMITED,,Matched,A,22/03/2013,Sean.Roberts
Alcoholic Rtd'S,5060045582768,Sourz Fusions Purple Twist 70cl,MAXXIUM UK LIMITED,,Matched,A,22/03/2013,Sean.Roberts
Alcoholic Rtd'S,5060045582744,Sourz Fusionz  Apple Bite 70cl,MAXXIUM UK LIMITED,,Matched,A,22/03/2013,Sean.Roberts
Alcoholic Rtd'S,5060045582706,Sourz Fusionz Apple Bite 275ml,MAXXIUM UK LIMITED,,Matched,A,04/05/2012,Sean.Roberts
Shot Spirits,5010196091886,Sourz Green Apple Liqueur 70cl,MAXXIUM UK LIMITED,,Matched,A,19/12/2008,Sean.Roberts
Shot Spirits,5060045582447,Sourz Raspberry 70cl,MAXXIUM UK LIMITED,,Matched,A,22/03/2013,Sean.Roberts
Shot Spirits,5060045582881,Sourz Summer Berries Limited Edition 70cl,MAXXIUM UK LIMITED,,Matched,A,22/03/2013,Sean.Roberts
Shot Spirits,5060045580252,Sourz Tropical Blue 70cl,MAXXIUM UK LIMITED,,Matched,A,19/02/2010,Sean.Roberts
Vodka,4750021000584,Stolichnaya Applik Vodka ` 70cl,MAXXIUM UK LIMITED,,Matched,A,12/09/2011,Sean.Roberts
Vodka,4750021000669,Stolichnaya Citros Vodka 70cl,MAXXIUM UK LIMITED,,Matched,A,12/09/2011,Sean.Roberts
Vodka,4750021000256,Stolichnaya Razberri Vodka 70cl,MAXXIUM UK LIMITED,,Matched,A,12/09/2011,Sean.Roberts
Vodka,4600659912585,Stolichnaya Vanila Vodka 37.5 70cl,MAXXIUM UK LIMITED,,Matched,A,12/09/2011,Sean.Roberts
Blended Scotch Whisky,5010093112011,Teachers Whisky 1.5ltr,BEAM GLOBAL DISTRIBUTION UK LT,MAXXIUM UK LIMITED,Matched,A,07/02/2011,Sean.Roberts
Fractionals,5010093288006,Teachers Whisky 20cl,BEAM GLOBAL DISTRIBUTION UK LT,MAXXIUM UK LIMITED,Matched,A,31/01/2011,Sean.Roberts
Blended Scotch Whisky,5010093259006,Teachers Whisky 240x70cl Mini Pallet 40x6x70,MAXXIUM UK LIMITED,BEAM GLOBAL DISTRIBUTION UK LT,Matched,A,22/03/2013,Sean.Roberts
Fractionals,5010093000011,Teachers Whisky 35cl,MAXXIUM UK LIMITED,,Matched,A,07/02/2011,Sean.Roberts
Blended Scotch Whisky,5010314070304,The Black Grouse 70cl,MAXXIUM UK LIMITED,,Matched,A,23/07/2013,Sean.Roberts
Blended Scotch Whisky,5010314150006,The Famous Grouse Whisky 1.5ltr,MAXXIUM UK LIMITED,,Matched,A,11/03/2011,Sean.Roberts
Fractionals,5010314054304,The Famous Grouse Whisky 10cl,MAXXIUM UK LIMITED,,Matched,A,10/07/2013,Sean.Roberts
Blended Scotch Whisky,5010314101015,The Famous Grouse Whisky 1ltr,MAXXIUM UK LIMITED,,Matched,A,22/03/2013,Sean.Roberts
Fractionals,5010314020002,The Famous Grouse Whisky 20cl,MAXXIUM UK LIMITED,,Matched,A,10/07/2013,Sean.Roberts
Blended Scotch Whisky,5010314450007,The Famous Grouse Whisky 4.5ltr,MAXXIUM UK LIMITED,,Matched,A,19/04/2013,Sean.Roberts
Fractionals,0000050792511,The Famous Grouse Whisky 5cl,MAXXIUM UK LIMITED,,Matched,A,11/03/2011,Sean.Roberts
Blended Scotch Whisky,5010314700003,The Famous Grouse Whisky 70cl,MAXXIUM UK LIMITED,,Matched,A,19/08/2013,Sean.Roberts
Blended Scotch Whisky,5010314350000,The Famous Grouse Whisky PM749 35cl,MAXXIUM UK LIMITED,,Matched,A,22/03/2013,Sean.Roberts
